X,logFC,P.Value,adj.P.Val,B,SYM,gene_id,UniSYM,UniENTREZ,matchSYM,MitoLocal
Q05962|ADT1_RAT,0.929140727,0.094375433,0.158502329,-4.704783884,Slc25a4,85333,Slc25a4,85333,Slc25a4,MIM
P62909|RS3_RAT,1.058033625,0.096123618,0.159731847,-4.720962278,Rps3,140654,Rps3,140654,Rps3,Associated
Q52KK3|S2551_RAT,0.893252691,0.098292335,0.161333009,-4.740596482,Mcart1,313241,Slc25a51,313241,Slc25a51,MIM
tr|F1M1E4|F1M1E4_RAT,0.946982066,0.099146198,0.161333009,-4.748198682,Pnkd,100188944,Pnkd,100188944,Pnkd,MIM
P61980|HNRPK_RAT,1.016361237,0.101234968,0.163389496,-4.766500848,Hnrnpk,117282,Hnrnpk,117282,Hnrnpk,Unknown
tr|E9PT51|E9PT51_RAT,1.066849391,0.108638845,0.169424866,-4.828224451,NA,NA,Poldip2,,Poldip2,Matrix
tr|D4A833|D4A833_RAT,0.928656896,0.109537099,0.169975843,-4.835400203,Mrps30,294767,Mrps30,294767,Mrps30,Matrix
tr|D3ZBM3|D3ZBM3_RAT,1.093638738,0.110524092,0.171007748,-4.843211273,Fech,361338,Fech,361338,Fech,MIM
P16036|MPCP_RAT,0.887910207,0.11694209,0.178478607,-4.892215094,NA,NA,Slc25a3,,Slc25a3,MIM
P07756|CPSM_RAT,0.982551575,0.118380313,0.179974712,-4.902792892,Cps1,497840,Cps1,497840,Cps1,Matrix
tr|G3V728|G3V728_RAT,0.867622375,0.125301764,0.186528762,-4.951798771,Nipsnap1,360971,Nipsnap1,360971,Nipsnap1,Matrix
P56574|IDHP_RAT,1.17181015,0.127248482,0.187298328,-4.965046504,Idh2,361596,Idh2,361596,Idh2,Matrix
P15999|ATPA_RAT,0.829374949,0.13433984,0.193745163,-5.011477602,Atp5a1,65262,Atp5f1a,65262,Atp5f1a,MIM
P48721|GRP75_RAT,0.844746908,0.141097833,0.200103609,-5.053263129,NA,NA,Hspa9,,Hspa9,Matrix
tr|F1LM47|F1LM47_RAT,0.990205765,0.141803703,0.200103609,-5.057498649,Sucla2,361071,Sucla2,361071,Sucla2,Matrix
P10719|ATPB_RAT,0.839659373,0.1429939,0.20106119,-5.064587355,Atp5b,171374,Atp5f1b,171374,Atp5f1b,MIM
P17764|THIL_RAT,0.833351771,0.149329477,0.206279383,-5.101243927,Acat1,25014,Acat1,25014,Acat1,Matrix
Q62956|ERBB4_RAT,0.953446706,0.15034889,0.2065983,-5.106979147,Erbb4,59323,Erbb4,59323,Erbb4,Associated
tr|D3ZRH1|D3ZRH1_RAT,0.834161123,0.151217895,0.207180623,-5.111833813,Oxa1l,691393,Oxa1l,691393,Oxa1l,MIM
Q8CGU6|NICA_RAT,0.743036906,0.170411887,0.225874778,-5.21168777,Ncstn,289231,Ncstn,289231,Ncstn,Unknown
P85834|EFTU_RAT,0.689820608,0.193181344,0.246310468,-5.314701075,Tufm,293481,Tufm,293481,Tufm,Matrix
Q9QWJ9|NRP1_RAT,0.678136826,0.197418993,0.25068066,-5.332323279,Nrp1,246331,Nrp1,246331,Nrp1,Associated
tr|D4A5X7|D4A5X7_RAT,0.758440653,0.202011238,0.256098118,-5.350929495,Gdap1,312890,Gdap1,312890,Gdap1,MOM
P38718|MPC2_RAT,0.77926445,0.211853523,0.264732701,-5.389191155,Mpc2,100359982,Mpc2,100359982,Mpc2,MIM
Q64428|ECHA_RAT,0.647065481,0.221804996,0.274549176,-5.425804499,Hadha,170670,Hadha,170670,Hadha,MIM
Q811P6|TFB1M_RAT,-0.578957876,0.367492556,0.415610286,-5.803737644,Tfb1m,308140,Tfb1m,308140,Tfb1m,Matrix
B5DF41|SNPH_RAT,0.479060491,0.371672605,0.419131517,-5.811560554,Snph,296267,Snph,296267,Snph,Associated
tr|Q5XIH3|Q5XIH3_RAT,0.495875041,0.37276968,0.41976643,-5.813593492,Ndufv1,293655,Ndufv1,293655,Ndufv1,MIM
Q66HF1|NDUS1_RAT,0.461573919,0.382710714,0.428229034,-5.831641267,Ndufs1,301458,Ndufs1,301458,Ndufs1,MIM
B4F795|CTL2_RAT,0.475549062,0.392630598,0.435271721,-5.849003152,Slc44a2,363024,Slc44a2,363024,Slc44a2,Associated
tr|D3ZG43|D3ZG43_RAT,0.454215368,0.402481677,0.441830445,-5.865634969,Ndufs3,295923,Ndufs3,295923,Ndufs3,MIM
tr|B0BN30|B0BN30_RAT,0.429651896,0.430812162,0.468015661,-5.910324871,Mtch1,294313,Mtch1,294313,Mtch1,MOM
tr|A0A0G2K459|A0A0G2K459_RAT,0.391467412,0.448993968,0.482776003,-5.936748097,NA,NA,Mtch2,,Mtch2,MOM
tr|B0BNK1|B0BNK1_RAT,0.160938263,0.801526536,0.812903041,-6.221187804,Rab5c,287709,Rab5c,287709,Rab5c,Associated
Q5XIK2|TMX2_RAT,-0.063793818,0.913092311,0.91776286,-6.249825142,Tmx2,295701,Tmx2,295701,Tmx2,Associated
P31399|ATP5H_RAT,-0.037985484,0.944841611,0.947251921,-6.253804708,Atp5h,641434,Atp5pd,641434,Atp5pd,MIM
