"","Sym","Syn"
"427","Ttc19","2010204O13Rik|2810460C24Rik|AI505442"
"428","Slc25a24","2610016M12Rik"
"429","Apoo","0610008C08Rik|1110019O03Rik|Mico|Micos26"
"430","Grpel2","mt-GrpE|mt-GrpE#2|mt-Grpel2"
"431","Slc25a32","2610043O12Rik|Mftc"
"432","Hsd17b10","17bHSD10|Ad|Ads9|ER|ERAB|Hadh|Hadh2"
"433","Cox8a","COX|COX8L"
"434","Uqcrc1","1110032G10Rik"
"435","Slc25a12","2610002D09Rik|AI839531|B230107K20Rik|BB129864"
"436","Mtch2","2310034D24Rik|4930539J07Rik|HSPC0|HSPC032"
"437","Parl","D16Ertd607|D16Ertd607e|P|PRO2|PRO2207|PS|PSARL1|PSENIP2|Psarl"
"438","Mcur1","6230416A05Rik|AU015498|AV136929|AW554392|C88263|Ccdc90|Ccdc90a"
"439","Prodh","P|Pr|Pro-1|Pro1|Ym24d07"
"440","Timm23","Tim2|Tim23"
"441","Slc25a35","1810012H11Rik"
"442","Mthfsl","Gm2382"
"443","Abat","9630038C02Rik|AI255750|GABA|Gabaat|Gabat|Gm9851|I54|Laibat|X61497"
"444","Ndufb3","2700033I16Rik|CI-B12"
"445","Dlst","1600017E01Rik|4632413C10Rik|4930529O08Rik|DLTS"
"446","Tfb2m","Hkp|Hkp1"
"447","Ogdhl","-"
"448","Eral1","2610524P08Rik|9130407C09Rik|AU019798|Era|M-ERA|MER|MERA|MERA-S|MERA-W"
"449","Pdk4","AV005916"
"450","Grsf1","BB232551|C80280|D5Wsu31|D5Wsu31e"
"451","Gatm","1810003P21Rik|AI314789|AT"
"452","Sirt3","2310003L23Rik|AI848213|Si|Sir2l3"
"453","Cox7a1","COX|COX7|COX7A|COX7AH|COX7AM"
"454","Tmem14c","1110021D01Rik|AU020193|HSPC1|HSPC194"
"455","Coa7","2010305A19Rik|AI451324|D4Ertd796|D4Ertd796e|Sel|Selrc1"
"456","Acad8","2310016C19Rik|AI786953"
"457","Eci1","Dc|Dci|ec|eci"
"458","Ndufa8","0610033L03Rik|AW261656|CI-19kD|CI-PGIV"
"459","Pus1","A730013B20Rik|MPU|MPUS1|mPus1p"
"460","Mrpl54","0610008M19Rik|D10Sut1|D10Sut1e"
"461","Mdh2","MDH|Mdh-2|Mo|Mor|Mor-1|Mor1"
"462","Mtch1","2310034O17Rik|AI255158|AU018396|C77849|PSAP"
"463","Mrps17","1810006P02Rik|Mprs17"
"464","H2-Ke6","D17H6S112E|H-2Ke6|Hsd17b8|Ke-6|Ke6|Ri|Ring2"
"465","Mrpl51","2610511M02Rik|CDA0|CDA09|HSPC2|HSPC241|Mrp|Mrp64"
"466","Dnajc15","1110003P16Rik|Dnaj|Dnajd1"
"467","Rpusd4","2410001E19Rik"
"468","Ldhd","4733401P21Rik|D8Bwg1320e|DLD"
"469","Mrpl57","2610025P17Rik|AV005697|Mrp|Mrp63"
"470","Eci3",NA
"471","Uqcc2","2900010M23Rik|Cbp|Cbp6|M19|Mnf|Mnf1"
"472","Armc10","2810037C14Rik|Svh"
"473","Ndufs1","5830412M15Rik|9930026A05Rik"
"474","Acsm3","S|Sa|Sah"
"475","Amt","EG434437|GCVT"
"476","Prdx3","A|AW822249|Aop1|D0Toh|D0Tohi1|Ef2|Ef2l|Mer|Mer5|Prx3|SP|SP22|TDXM"
"477","Tmem65","2610029O13Rik|4930438D12Rik"
"478","Mrpl53","1110007K17Rik"
"479","Timm8a2","-"
"480","Gatc","2010003O18Rik"
"481","Sdha","1500032O14Rik|2310034D06Rik|4921513A11|C81073|F|FP|SDH|SDH2|SDHF"
"482","Pisd","9030221M09Rik"
"483","Gls2","A330074B06Rik|AI195532|GA|GLS|L|Lga"
"484","Mrps30","2610020A16Rik|AA968347|PAP|Pdcd|Pdcd9"
"485","Exog","AW557704|ENDO|ENG|ENGL-B|ENGL-a|Endogl1|Endogl2|Engl|Engla|Englb"
"486","Mtpap","0610027A18Rik|AW551379|Pa|Papd1|Tent|Tent6"
"487","Ndufaf6","2310030N02Rik"
"488","mt-Nd2","-"
"489","Gfer","Alr|ER|ERV1"
"490","Slc25a10","Di|Dic"
"491","Cox20","2310005N03Rik|Fam3|Fam36a"
"492","Mlycd","AI324784|Mcd"
"493","Cox4i2","Cox4|Cox4b|CoxIV-2"
"494","Sirt5","0610012J09Rik|1500032M05Rik|AV001953"
"495","Acss1","1110032O15Rik|AI788978|Ac|Acas2|Acas2l|AceC|AceCS2"
"496","Mrpl18","1010001C05Rik|C79879|HSPC0|HSPC071|MRP-|MRP-L18"
"497","Dtymk",NA
"498","Nln","4930472G13Rik|C79345"
"499","Fars2","Fa|Fars1|pheRS"
"500","Trmu","1110005N20Rik|1600025P05Rik|AI314320|Trmt|Trmt1"
"501","Msrb2","2310050L06Rik|Mrsb|Ms|Msrb|Pilb"
"502","Ndufa1","1810049F12Rik|MWFE"
"503","Ndufb4","0610006N12Rik|1300010H20Rik"
"504","Gm45799",NA
"505","Dmgdh","1200014D15Rik|AI787269"
"506","Chchd1","1110001O19Rik|2400010G13Rik|MRP-S37"
"507","Lyrm4","BC034664|Gm903"
"508","Synj2bp","A|AA409442|ARIP2|ActRIP4|D12Wsu118|D12Wsu118e|OMP|OMP25"
"509","Acot10","Acat|Acate3|MT-ACT4|MT-ACT48|p4|p48"
"510","Cmc1","2010110K16Rik|2010312P05Rik|AI596001"
"511","Mtg2","1810011P19Rik|2900056P18Rik|D2Bwg0647e|Gtpb|Gtpbp5"
"512","Tefm","1110002N22Rik"
"513","Endog","-"
"514","Suclg2","AF171077|AW556404|D6Wsu120|D6Wsu120e|G-SCS|GTPSCS|SCS-betaG"
"515","Uqcc1","2310079L17Rik|2410003P15Rik|3110038N19Rik|Bfz|Bfzb|Bfzp|Cbp|Cbp3|Uqcc"
"516","Mrps18c","1110037D14Rik"
"517","Cox10","2410004F01Rik|AU042636"
"518","Mavs","D430028G21Rik|IP|IPS-1|Visa|cardif"
"519","Opa3","D630048P19Rik|Gm1425|Gm472"
"520","Mrpl45","2600005P05Rik|AU043542|R75241"
"521","Ndufa3","1010001M12Rik|1700022J01Rik"
"522","Me3","1700020C08Rik|B230207H15Rik"
"523","Mto1","2310039H01Rik|5730419A02Rik"
"524","Cyb5r3","0610016L08Rik|2500002N19Rik|B5R|C85115|Di|Dia|Dia-1|Dia1|WU:Cyb5r3"
"525","Cox14","2310016M24Rik|AA959804"
"526","Hmgcs2","1300002P16|mH|mHS"
"527","Hax1",NA
"528","Agxt2","AI303810|AI663818"
"529","Aadat","AI875679|Aadt|KA|KATII|Kat|Kat2|Kyat|Kyat2|mKat-|mKat-2"
"530","Cox6a2","COX|CoxVIaH|V|VIaH"
"531","Otc","AI265390|Sf|spf"
"532","Cox5a","AA959768|CcO|CcOX"
"533","Atad1","4921525H23Rik|AW107648|Tho|Thorase"
"534","Vdac2","Vda|Vdac6|mVDAC2|mVDAC6"
"535","Fis1","2010003O14Rik|Ttc11"
"536","Phb","Bap32"
"537","Mrpl52","1110047B07Rik"
"538","Mrpl19","9030416F12Rik|9130412E02Rik|D6Ertd157|D6Ertd157e|MRP-|MRP-L15|RL|RLX1|Rpm|Rpml15"
"539","Akap1","AKA|AKAP121|AKAP84|Akap|C76494|C81186|DAK|DAKAP1|S-AK|S-AKAP84"
"540","Cps1","4732433M03Rik|C|CPS|D1Ucl|D1Ucla3"
"541","Cyb5b","1810044O22Rik|AU015618|Cyb5m"
"542","Slc25a42","2900084M01Rik"
"543","Ptcd2","1190005P08Rik"
"544","Bola1","1810037G04Rik"
"545","Polg","AA409516|P|PolgA"
"546","Pptc7","9130017A15Rik|AA672638|AI848390|TA-PP2C"
"547","mt-Atp6","-"
"548","Got2","AL022787|FABP|FABP-pm|Got-2|Kyat|Kyat4|mA|mAspAT"
"549","Uqcr11","0710008D09Rik|AL022707|Uqc|Uqcr"
"550","Uqcr10","1110020P15Rik|AA960494|Ucrc"
"551","Coa6","1810063B05Rik|AI447995"
"552","Usp30","6330590F17Rik|AI851327|D5Ertd483|D5Ertd483e"
"553","Mterf2","1700007D05Rik|Mterfd|Mterfd3"
"554","Sod2","Mn|MnSOD|Sod|Sod-2"
"555","Hspe1-rs1",NA
"556","Lipt2","2610209A20Rik"
"557","Mrpl34","0610007O17Rik|D8Bwg1484e"
"558","Cpt1b","Cpt|Cpt1|Cpt1-m|Cpti|Cpti-m|M-CP|M-cpti"
"559","Ndufc1","2310016K22Rik|KFYI"
"560","Arg2","AII|AU022422"
"561","Hk1",NA
"562","Pdp2","4833426J09Rik|Gm1705|mKIAA1348"
"563","Sfxn2","C79732|F630107H02Rik"
"564","Tfb1m","AI429207|mtTFB1"
"565","Ptcd1","1110069M14Rik"
"566","Slc25a26","4930433D19Rik|4933433F13Rik|AW557176|D6Bwg0781e|Slc25a6"
"567","Gtpbp3","2410009F13Rik|AI607903|Gtpb"
"568","Ptrh2","A230072I16Rik|Bit|Bit1|CGI-147|PTH 2"
"569","Tmem126b","1110001A23Rik"
"570","Polg2","mtPolB|p55|polG-beta"
"571","Them4","2700077M13Rik|4921507I02Rik"
"572","Maob","6330414K01Rik|MAO|MAO-B"
"573","mt-Nd3","-"
"574","Chchd2","AL033347|Etoh|Etohi6"
"575","Pdf","2610019N19Rik"
"576","Acss3","8430416H19Rik|Gm874"
"577","Slc25a25","1110030N17Rik|MCSC|mKIAA1896"
"578","Timm8b","Tim8|Tim8b"
"579","Tomm6","1110002E23Rik|AI663970"
"580","Alas2","A|ALAS|ALAS-E|ALASE|Al|Alas-2"
"581","Nags","1700120E20Rik|argA"
"582","Mettl17","2310032K15Rik|D14Ertd209|D14Ertd209e|Mett11d1"
"583","Alkbh7","2310045B01Rik|2510008E23Rik|Abh|Abh7|Spa|Spata11"
"584","Cyp11a1","Cyp1|Cyp11a|Cypxia1|D9Ertd411|D9Ertd411e|P450s|P450scc|Sc|Scc|csc|cscc"
"585","Mpv17","Tg.Mpv|Tg.Mpv17"
"586","Pycr1","P5CR 1|P5CR1"
"587","Dhx30","2810477H02Rik|C130058C04Rik|Ddx30|HELG|Ret-CoR|hel"
"588","Mrps21","1810031B19Rik|S21mt"
"589","Ptpmt1","1110001D10Rik|2810004N20Rik|PLIP"
"590","Qdpr","2610008L04Rik|D5Ertd371e|Dhpr|PKU2"
"591","Gstk1","0610025I19Rik|AW260476|Dsb|DsbA-L"
"592","Mrpl33","0610009M10Rik|L33mt|MRP-L33"
"593","Acsl1","Ac|Acas|Acas1|Acs|FACS|Fac|Facl2|LACS 1|LACS1"
"594","Ndufb10","0610011B04Rik|22kD|22kDa|PDSW"
"595","Ppm1k","2900063A19Rik|A930026L03Rik|PP2|PP2C-kappa|PP2Cm"
"596","Dguok","dGK|dGK1|dGK2|dGK3"
"597","Crls1","0610009I22Rik|4930557M15Rik|5730490M08Rik"
"598","Fastkd3","2310010B21Rik|AW048587"
"599","Nudt13","4933433B15Rik"
"600","Slc25a36","C330005L02Rik"
"601","Tomm7","1110020J08Rik|AW047273|TOM|Tom7"
"602","Msra","2310045J23Rik|6530413P12Rik|MS|MSR-A"
"603","Ckmt1","Mt-CK|ScCKmit|U-MtCK|UbCKmi|UbCKmit|mi-C|mi-CK|mia-CK"
"604","Mff","5230400G24Rik|AI314724"
"605","Nit1","AI255805|ESTM3|ESTM30|W57327"
"606","Acsl5",NA
"607","Sfxn5","C230001H08Rik"
"608","Fastkd2","2810421I24Rik"
"609","Uqcc3","AI4624|AI462493|Cbp|Cbp4"
"610","Hagh","BC019817|Gl|Glo|Glo-2|Glo2|Rs|Rsp29"
"611","Hoga1","0610010D20Rik|Dhd|Dhdpsl|N|Npl2"
"612","Pdss1","2610203G20Rik|2700031G06Rik|TPT|TPT 1|Tp|Tprt|mDLP1|mS|mSPS1"
"613","Coq2","2310002F18Rik|PHB:PPT"
"614","Gtpbp6","AV119224|Pg|Pgbpll|p|pgpl"
"615","Prelid1","2610524G07Rik|Preli"
"616","Romo1","2010100O12Rik|AI853864"
"617","Bax","-"
"618","Hemk1","2310008M14Rik|AW049265"
"619","Mthfd2l","1110019K23Rik|C630010D07Rik"
"620","Car5b","7330410H16Rik|CA|CAVB|Ca5b|CarVb|D730005F19Rik"
"621","Mfn2","D630023P19Rik|Fz|Fzo"
"622","Lipt1","EG623661"
"623","Higd1a","2210020B17Rik|7420700H20Rik|AI303276|AW049839|HIM|HIMP1|Hig|Hig1"
"624","Fundc1","1500005J14Rik|1810033P05Rik"
"625","Yrdc","AV303379|BC023823|IRIP|ITIP"
"626","Slc25a15","D630044L02Rik|Or|Ornt1"
"627","Gdap1","-"
"628","Acp6","5730559A09Rik|AC|ACPL1|AU022842|mPA|mPACPL1"
"629","Slc25a34","Gm1369"
"630","Micu3","2900075B16Rik|Efha|Efha2"
"631","Dnajc30","1300007M11Rik|Wbscr|Wbscr18"
"632","Lypla1","APT-1|Gm39587|LPL-I|P|Pla1a"
"633","Cox18","BC038311"
"634","Fundc2","4833415N24Rik|DC44|HCBP|HCBP6"
"635","Cyp27b1","Cp2|Cp2b|Cyp|Cyp1|Cyp27|Cyp27b|Cyp4|Cyp40|P450c|P450c1|Pd|Pddr|Vd|Vdd|Vdd1|Vddr|VddrI|Vdr"
"636","Cdk5rap1","2310066P17Rik"
"637","mt-Co3","-"
"638","Slc25a21","9930033G19Rik|A630030I10|BB158148"
"639","P4hb",NA
"640","Mrm1","A530065E19Rik"
"641","Mief1","A230016E22|AI452372|Smc|Smcr7l"
"642","Hspa5",NA
"643","Pdha2","Pd|Pdhal"
"644","Mgst1","1500002K10Rik|Gst"
"645","Oxct2b",NA
"646","Bcl2l1","Bcl|Bcl(X|Bcl(X)L|Bcl-XL|Bcl2l|BclX|bcl-|bcl-x|bcl2-L-1"
"647","Mmadhc","2010311D03Rik|AI314967|CblD"
"648","Gm20683",NA
"649","Chchd10","1620401E04Rik|AI267078|Ndg|Ndg2"
"650","Cyp24a1","24-OH|24-OHase|CP2|CP24|Cyp2|Cyp24"
"651","Immp2l","AI853880|IM|IMP2|Tg(HLA-A/H2-D)2Enge"
"652","Slc25a40","B230315F11Rik"
"653","Acsl4",NA
"654","Mtrf1","A830062K05Rik|MtRF-1"
"655","Ucp2","Slc25a8|UCP 2|UCPH"
"656","Fastkd1","5330408N05Rik|mKIAA1800"
"657","Mtrf1l","9130004K12Rik"
"658","Thg1l","-"
"659","Cox17","AI037035|COX1"
"660","Fkbp8","38kD|38kDa|FKBP-38|FKBP-8|FKBPR38|Fkbp3|Fkbp38|mFKBP38"
"661","Tk2","AU024611|mt-TK"
"662","Ckmt2","2300008A19Rik|ScCKm|ScCKmit"
"663","Lactb2","Cgi-8|Cgi-83|E430032H21Rik"
"664","Slc25a18","1500015I14Rik|AW125787"
"665","Nmnat3","4933408N02Rik|PN|PNAT3"
"666","Car5a","CAV|Ca|Ca5a|Car5"
"667","Mul1","0610009K11Rik|AV000801|Gide"
"668","Cox16","1810020G14Rik|1810055I05Rik|BB388670"
"669","Sirt4","4930596O17Rik"
"670","Fam210b","2010011I20Rik|AI430961|AV108736"
"671","Nt5m","2010013E09Rik|AI846937|dNT-|dNT-2"
"672","Acsm1","Acas3|Bucs|Bucs1|Ma|Macs"
"673","Sfxn4","-"
"674","Agpat5","1110013A05Rik|D8Ertd319|D8Ertd319e"
"675","Agmat","5033405N08Rik"
"676","Tspo","Bz|Bzrp|IBP|P|PBR|Ts|Tspo1"
"677","Mmaa","2810018E08Rik|AI840684"
"678","Glyctk","6230410P16Rik|C430006L12"
"679","Guk1","AA409738|AL033299|AL033300|AV026611|Gmk|Guk-1"
"680","Pgs1","2610019F11Rik|4933424M23Rik|SAF"
"681","Triap1","1810015M01Rik|AU020874|AU043831|P53csv|Wf-1"
"682","Dhrs2","5430405K24Rik|Hep27"
"683","Sugct","5033411D12Rik|D17907"
"684","Bak1","Ba|Bak|N-B|N-BAK1|N-Bak"
"685","Pink1","1190006F07Rik|AU042772|AW557854|BRPK|br|mFLJ00387"
"686","Mterf4","1810059A23Rik|4933412H03Rik|Mterfd|Mterfd2"
"687","Pnkd","2210013N15Rik|2810403H05Rik|AI854243|Brp|Brp17|MNCb-5687|MR-1|Tahccp2"
"688","Gtpbp10","4930545J22Rik|BC034507"
"689","Abcb6","1200005B17Rik"
"690","Nudt9","1190002C07Rik|ADPR-PPase|AI462474"
"691","Nme6","nm23-M|nm23-M6"
"692","mt-Nd4l","-"
"693","Rps3",NA
"694","Gpam","GPA|GPAT|GPAT-1|GPAT1|P90"
"695","Cmpk2","1200004E04Rik|TDK|TDKI|Tyk|Tyki"
"696","Ucp3","AI645527|Slc2|Slc25a9|UCP-|UCP-3"
"697","Aurkaip1","0610033H09Rik|Aip|Akip|MRP-S38"
"698","Gpx1","AI195024|AL033363|CGP|CGPx|GPx-|GPx-1|GSHPx|GSHPx-1|Gp|Gpx"
"699","Mrpl36","AI646041"
"700","Exd2","4930539P14Rik|C85658|Exdl|Exdl2"
"701","Mterf1a","4931431L11Rik|9230106K09Rik|Mter|Mterf|Mterf1|mTERF1b"
"702","Dut","5031412I06Rik|5133400F09Rik|D2Bwg0749e|Dutp|dUTPase"
"703","Nme3","1810009F08Rik|AI413736|DR-nm|DR-nm23|Ndk|Ndk3|Nm23-DR|Nm23-M|Nm23-M3"
"704","Cisd3","Mel-13|Mel1|Mel13"
"705","Fastkd5","C78212|mKIAA1792"
"706","Glyat","A330009E03Rik|ACGNAT|AI195249|AI315345|CAT|GAT"
"707","Stard7","AI852671|AL022671|AW544915"
"708","Mtfmt","2310020P08Rik"
"709","Prodh2","2510028N04Rik|2510038B11Rik|HYPDH|MmPO|MmPOX|MmPOX1|POX1"
"710","Fastk","0610011K02Rik|610011K02Rik"
"711","Slc25a28","Mfr|Mfrn2|Mrs3|Mrs3/4"
"712","Gpx4","GPx-4|GSHPx-4|PHG|PHGPx|mtPHG|mtPHGPx|sn|snGPx"
"713","Coasy","1300003G02Rik|Dpc|Dpck|P|Ppat|Ukr|Ukr1"
"714","Mrpl35","1110066C01Rik"
"715","Slc25a37","1700020E22Rik|4930513O14Rik|4930526G11Rik|AI848481|C330015G08Rik|Fra|Mf|Mfr|Mfrn|Mfrn1|Ms|Mscp|frascati|mito|mitoferrin"
"716","Vim",NA
"717","Flad1","A930017E24Rik|Pp5|Pp591"
"718","Amacr","Mac|Macr1"
"719","Bola3","1810056O20Rik"
"720","Rpusd3","AI527266"
"721","Ucp1","AI385626|Slc2|Slc25a7|Ucp"
"722","Cox6b2","1700067P11Rik|BC048670|COXV|COXVIB2"
"723","Them5","1110007B02Rik|1110038F21Rik"
"724","Fpgs","AA408187"
"725","Canx",NA
"726","Dna2","Dn|Dna2l|E130315B21Rik"
"727","Cryz","SEZ|Sez9"
"728","Lrrc59",NA
"729","Scp2","AA409774|AA409893|C76618|C79031|NSL-TP|SC|SCP|SCP-2|SCP-X|SCPX|ns|ns-LTP"
"730","Trit1","2310075G14Rik|AI314189|AI314635|AV099619|IPPT|IPT|MOD|MOD5"
"731","Cend1",NA
"732","Chchd7","1810049H20Rik"
"733","Slc25a23","2310067G05Rik|SCaMC|SCaMC-3"
"734","Metap1d","2310066F24Rik|3110033D18Rik|AV117938|MAP 1D|Map1d|MetAP 1D|Meta|Metapl1"
"735","Mcl1","AW556805|Mcl-|Mcl-1"
"736","Mthfd2","AW558851|NMDM|NMDMC"
"737","Mettl15","0610027B03Rik|AI303697|AW049952|Mett5d1"
"738","Coa5","1700001A24Rik|6330578E17Rik|Pet19|Pet191"
"739","Mpv17l2","Fksg2|Fksg24"
"740","Mocs1","3110045D15Rik|AI043170|AW536397"
"741","Ngb",NA
"742","Gm3839",NA
"743","Lyrm1","1110065L10Rik|2310004B22Rik|4930404J24Rik"
"744","Slc25a43","Gm8"
"745","Mief2","AI482195|Gm11|Smc|Smcr7"
"746","mt-Nd6","-"
"747","Bco2","B-dio|B-diox-II|Bcdo|Bcdo2|Bcmo|Bcmo2|CMO|CMO2"
"748","Myh9",NA
"749","Calr",NA
"750","Pgk1",NA
"751","Dcxr","0610038K04Rik|1810027P18Rik|XR"
"752","Trmt5","2610027O18Rik|mKIAA1393"
"753","Armcx3","1200004E24Rik|AI450003|ALEX3"
"754","Actb",NA
"755","Slc30a9","2310024J23Rik|AL024256|GAC6|GAC63|HUEL|znT-9"
"756","Slc25a16","3110021G18Rik|GDA|GDC|HGT.1|ML|ML7"
"757","Kmo","AI046660"
"758","Tdrkh","2700091C21Rik|Tdrd|Tdrd2"
"759","Park7","DJ-1|Dj1"
"760","Acacb","AI597064|AW743042|Acc|Acc2|Accb"
"761","Top1mt","2900052H09Rik"
"762","Slc25a19","2900089E13Rik|DN|DNC|MUP|MUP1|TP|TPC"
"763","Star","AV363654|D8Ertd419|D8Ertd419e|stARD1"
"764","Slc25a29","C030003J19Rik|CA|CACL|mCA|mCACL"
"765","Ybey","1110068N23Rik|A130042E20Rik|C21orf57|ORF57|ORF66"
"766","Vps13a",NA
"767","Slc25a14","BMCP|BMCP1|UCP|UCP5|UCP5L|UCP5S"
"768","Slc25a39","3010027G13Rik|D11Ertd333|D11Ertd333e"
"769","Pyroxd2",NA
"770","Spata18",NA
"771","Apex2",NA
"772","Trub2","G430055L02Rik"
"773","Eno1b",NA
"774","Rab35",NA
"775","G0s2",NA
"776","Ado",NA
"777","Pld6","4933433K01Rik|Gm10|Zuc|mZuc|mit|mitoPLD"
"778","Arl2","2610009M23Rik|AI115441|AW553335"
"779","Hnrnpk",NA
"780","Slc25a45","AW491445"
"781","Ndufb1",NA
"782","Atcay",NA
"783","Anxa6",NA
"784","Spata5",NA
"785","Abce1",NA
"786","Coa4","5330414O08Rik|AI115477|AW047259|Chchd8|E2ig2"
"787","Bnip3","N|Nip3"
"788","Uba1",NA
"789","Abcf2",NA
"790","Atic",NA
"791","Slc25a33","5730438N18Rik|Pn|Pnc1"
"792","Slc25a38","AV019094|BC010801|a|appoptosin"
"793","Slc25a2","Or|Ornt2"
"794","Hrk",NA
"795","Ambra1",NA
"796","Agpat4","1500003P24Rik"
"797","Nat8l","1110038O08Rik|Sh|Shati"
"798","Myh10",NA
"799","Immp1l","1500034J20Rik|2610528O17Rik|AU042386"
"800","Tmx2",NA
"801","Cisd2",NA
"802","Wdr81",NA
"803","Ide","1300012G03Rik|4833415K22Rik|AA675336|AI507533"
"804","Qtrt1","2610028E17Rik|Tgt"
"805","Clic1",NA
"806","Slc25a47","AI132487|AI876593|HDMCP"
"807","Nudt6","Asfgf2b"
"808","Gpd1",NA
"809","Dpysl4",NA
"810","Tango2",NA
"811","Bcat1",NA
"812","Papss2",NA
"813","Acsm2","AI315615|BC031140"
"814","Apex1","APE|Apex|HA|HAP1|Ref-|Ref-1"
"815","Slc25a44","6720482A19|B430110G05Rik"
"816","Ogg1","Mmh"
"817","Bnip3l","C86132|D14Ertd719|D14Ertd719e|N|Nip3L|Nix"
"818","Slc25a30","4933433D23Rik|AV025504|AV221431|AW319655|KMCP|KMCP1"
"819","Msto1",NA
"820","Cox19","1810074D02Rik|2810437L13Rik"
"821","Spata19","1700001L23Rik|AV047838|spergen-1"
"822","Rictor",NA
"823","Mutyh","5730495A01Rik|Mutyha|Mutyhalpha|Mutyhb|Mutyhbet|Mutyhbeta|Mutyhc|Myh"
"824","Pet100","2900053A13Rik"
"825","Ftmt","4930447C24Rik|FerH|Fth3|MtF"
"826","Acot7","2410041A17Rik|AU01471|Ach1|Act|Bac|Bach|CTE-IIa|Cte-II|Lach1"
"827","Emc8",NA
"828","Gramd4",NA
"829","Slc25a51","9130208E07Rik|D130005A03Rik|Gm138|Mcar|Mcart1"
"830","Ube2n",NA
"831","Ung","UNG1|UNG2"
"832","Pmaip1","N|Noxa"
"833","Bag2",NA
"834","Armcx1","3010033I09Rik|ALEX1"
"835","Parp1",NA
"836","Hspa1b",NA
"837","Serac1","4930511N22Rik|D17Ertd141|D17Ertd141e"
"838","Rnaseh1","-"
"839","Acsl3",NA
"840","Rab10",NA
"841","Ube3b",NA
"842","Fhit","AW045638|Fra1|Fra14A2"
"843","Pet117","Gm20571"
"844","Slc25a41","4933406J04Rik|AI507137"
"845","Smim20","1110067B18Rik|1810013D10Rik|MITRAC7|N28078"
"846","Sarm1",NA
"847","Stard13",NA
"848","Gk2",NA
"849","Neu4","9330166I04"
"850","Hebp1","Hebp|p22HBP"
"851","Rala",NA
"852","Gja1",NA
"853","Kif1b",NA
"854","Tusc2",NA
"855","Ddx3x",NA
"856","Slc25a27","3632410G24Rik|9430092A03Rik|D530043E16Rik|Ucp|Ucp4"
"857","Slc25a48","AU042651|E230025K15"
"858","Cuta",NA
"859","Atg4d",NA
"860","Asb9",NA
"861","Fads1",NA
"862","Rab7",NA
"863","Sh3bp5",NA
"864","Bad","AI325008|Bbc2"
"865","Prdx6","1-Cys Prx|1-cys|1-cysPrx|9430088D19Rik|AA690119|Aop2|Brp-|Brp-12|CP-|CP-3|GP|GPx|Ltw|Ltw-|Ltw-4|Ltw4|Lvtw|Lvtw-4|N|NSGPx|ORF06|Prdx5|a|aiPLA2"
"866","Snph",NA
"867","Pus10",NA
"868","Dnm1l","6330417M19Rik|AI450666|Dlp1|Dnm|Dnmlp1|Dr|Drp1|pyt|python"
"869","Vamp1",NA
"870","Gpat2","A530057A03Rik|Gm116|Gpa|xGPAT1"
"871","Oas1e",NA
"872","Armcx2","3230401N03Rik|AI043003|ALEX2"
"873","Top3a","-"
"874","Chchd5","1110027L01Rik|AW045710"
"875","Siah3",NA
"876","Mtcp1",NA
"877","Mapk12",NA
"878","Hkdc1",NA
"879","Ddit4",NA
"880","Lrrk2",NA
"881","Myo19","1110055A02Rik|Myohd|Myohd1"
"882","Xaf1",NA
"883","Pank2","4933409I19Rik|AI642621"
"884","Cep89","2610507L03Rik|Ccdc123"
"885","Dok4",NA
"886","Rab5c",NA
"887","Alkbh1","2700073G19Rik|Abh|Alk|Alkbh|al|alkB|hABH"
"888","Oxr1","2210416C20Rik|C7|C7B"
"889","Msrb3","D430026P16Rik|I-8-23|MsrB2"
"890","Tbc1d9",NA
"891","Bbc3","PU|PUMA|PUMA/JFY1"
"892","Bloc1s1","AI839753|BL|BLOS1|Gcn5|Gcn5l1"
"893","Fen1",NA
"894","Fbxl4","AI836810|FBL|FBL4|FBL5"
"895","Vps13d","-"
"896","Dhx32",NA
"897","Mpv17l","M-|M-LP"
"898","Fbxo7",NA
"899","Ciapin1",NA
"900","Caprin2",NA
"901","Dbi","ACBD1|Ac|Acbp|E|EP|endoz|endozepine"
"902","Tert",NA
"903","Snn",NA
"904","Gps2",NA
"905","Bcl2l11","1500006F24Rik|Bi|Bim|Bo|Bod|bcl2-L-11"
"906","Nsun3","6720484A09Rik|AU022521"
"907","Zdhhc8",NA
"908","Ndfip2",NA
"909","Cox7b2",NA
"910","Cabs1",NA
"911","Slc44a1",NA
"912","Cnp",NA
"913","Rad51",NA
"914","Nudt1",NA
"915","Atg2a",NA
"916","Hsd3b9",NA
"917","Tigar",NA
"918","Mpg",NA
"919","Irgm1",NA
"920","Akap10","1500031L16Rik|B130049N18Rik|D-AK|D-AKAP-2|D-AKAP2|PRKA10"
"921","Pnpla8","1200006O19Rik|AI467579|Ipla2(gamma)"
"922","Pon2",NA
"923","Larp4",NA
"924","Trak1",NA
"925","Acad11","5730439E10Rik|AI987948"
"926","Rad51c",NA
"927","Eif5a",NA
"928","Slc22a4",NA
"929","Tmx1",NA
"930","Plin5",NA
"931","Fancg",NA
"932","Ccar2",NA
"933","Cfl1",NA
"934","Cluh",NA
"935","Sybu",NA
"936","Disc1",NA
"937","Ranbp2",NA
"938","Gm45837",NA
"939","Marcks",NA
"940","Lig3","D11Wsu78|D11Wsu78e"
"941","Prickle3",NA
