"","Sym","Syn"
"102","Sdhaf2","0610038F07Rik|AA407634|AW049997"
"103","Hint2","1190005L05Rik"
"104","Tfam","AI661103|Hmgt|Hmgts|mtTF|mtTFA|tsHM|tsHMG"
"105","Mrpl49","L49mt|MRP-L49|No|Nof1"
"106","Mrpl43","4930442D21Rik|bMRP|bMRP36a"
"107","Oxa1l","1810020M02Rik|AI894287"
"108","Sfxn1","2810002O05Rik|A930015P12Rik|f"
"109","Sdhd","3110001M13Rik|AVLL5809|C78570|PRO19626"
"110","Mrpl44","1810030E18Rik|5730593H20Rik|AI463302"
"111","Lrpprc","3110001K13Rik|C76645|Gp130|Lrp|Lrp130|Lsfc"
"112","Mrpl4","1110017G11Rik"
"113","Mrpl37","2300004O14Rik|AI132596|MRP|MRP-L2|Rp|Rpml2"
"114","Txn2","2510006J11Rik|AI788873|Trx|Trx2"
"115","Mrpl46","3110052F15Rik|C15orf4|C80107|LIEC|LIECG2|P2E|P2ECSL"
"116","Wars2","5730427B17Rik|9430020O07Rik|AI413375|T|TrpRS"
"117","Etfdh","0610010I20Rik|AV001013"
"118","Abcb10","ABC-m|Abc-me|Abcb12"
"119","Dap3","4921514D13Rik|DAP|DAP-3|MRP-S29|S29mt"
"120","Afg3l2","2310036I02Rik|AW260507|Emv6|Emv66|par"
"121","Mmab","9130222L19Rik|ATR"
"122","Vars2","1190004I24Rik|V|Vars2l|mKIAA1885"
"123","Mrps35","MDSO|MDSO23|MRP|MRP-|MRP-S28|MRPS28"
"124","Tsfm","2310050B20Rik|9430024O13Rik|EF-T|EF-TS|EF-Tsm|EF-Tsmt"
"125","Spg7","AI452278|AU015315|Cm|Cmar|PGN|pa"
"126","Acsf3","BB101783"
"127","Mrps31","1500002D03Rik|AA960481|Imoge|Imogen38|Imogen44"
"128","Ndufs7","1010001M04Rik|CI-20kD"
"129","Mpc1","0610006G08Rik|3830411I18Rik|Brp|Brp44l"
"130","Cox5b-ps",NA
"131","Coq9","2310005O14Rik|C78387"
"132","Mrps22","3100002P07Rik|Rpm|Rpms22"
"133","Acadl","AA960361|AU018452|C79855|LC|LCAD"
"134","Trnt1","2410043H24Rik|2610044E04Rik|9830143O18Rik|AA408384|C76540|CGI-4|CGI-47|mt-Trat"
"135","Mccc1","1810045E08Rik|2310058B18Rik|MCC|MCCalpha|Mcca|R75106"
"136","Suclg1","1500000I01Rik|Suc|Sucla1"
"137","Pdhb","2610103L06Rik|AL024199|C81408"
"138","Gcsh","1100001L02Rik|5730591C18Rik"
"139","Slc25a3","5730556H19Rik|PTP|Ph|Phc"
"140","Mrpl28","1110015G04Rik|L28mt|MAA|MAAT1|MRP-L28|p1|p15"
"141","Pnpt1","1200003F12Rik|Old35|P|PNPase|Pnptl1"
"142","Acadsb","1300003O09Rik|2-MEBCAD|BB066609|SBCAD"
"143","Nars2","AI875199"
